L1,L2,L3,pIC50,L1_MolWt,L1_MolLogP,L1_NumHDonors,L1_NumHAcceptors,L1_TPSA,L1_NumRotatableBonds,L1_NumAromaticRings,L1_NumAliphaticRings,L1_FractionCSP3,L1_HeavyAtomCount,L2_MolWt,L2_MolLogP,L2_NumHDonors,L2_NumHAcceptors,L2_TPSA,L2_NumRotatableBonds,L2_NumAromaticRings,L2_NumAliphaticRings,L2_FractionCSP3,L2_HeavyAtomCount,L3_MolWt,L3_MolLogP,L3_NumHDonors,L3_NumHAcceptors,L3_TPSA,L3_NumRotatableBonds,L3_NumAromaticRings,L3_NumAliphaticRings,L3_FractionCSP3,L3_HeavyAtomCount
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],4.54,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],4.68,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],4.92,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.17,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.25,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.41,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.2,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.44,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.15,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,[O-]N(=O)=O,[O-]N(=O)=O,6.38,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
