pIC50,L1_MolWt,L1_MolLogP,L1_NumHDonors,L1_NumHAcceptors,L1_TPSA,L1_NumRotatableBonds,L1_NumAromaticRings,L1_NumAliphaticRings,L1_FractionCSP3,L1_HeavyAtomCount,L2_MolWt,L2_MolLogP,L2_NumHDonors,L2_NumHAcceptors,L2_TPSA,L2_NumRotatableBonds,L2_NumAromaticRings,L2_NumAliphaticRings,L2_FractionCSP3,L2_HeavyAtomCount,L3_MolWt,L3_MolLogP,L3_NumHDonors,L3_NumHAcceptors,L3_TPSA,L3_NumRotatableBonds,L3_NumAromaticRings,L3_NumAliphaticRings,L3_FractionCSP3,L3_HeavyAtomCount
5.41,0.4071259360541847,0.012650779641071433,0,1.4370710198489194,0.2629757785467131,1.307849624343187,-0.26432744018203497,0.0,9.043478260869577,0.5642907417577488,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.21,0.4071259360541847,0.012650779641071433,0,1.4370710198489194,0.2629757785467131,1.307849624343187,-0.26432744018203497,0.0,9.043478260869577,0.5642907417577488,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.36,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.9799945190463144,0.6685999999999999,1,1.0973313495599912,57.53,0.9812654682185873,1.7696829165862957,0,0.0,1.4523166328092343,101.661,0.6685999999999999,2,2.1890672566095537,57.53,5.830951894845301,5.830951894845301,0,0.0,5.112549355783116
6.27,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.9799945190463144,0.6685999999999999,1,1.0973313495599912,57.53,0.9812654682185873,1.7696829165862957,0,0.0,1.4523166328092343,101.661,0.6685999999999999,2,2.1890672566095537,57.53,5.830951894845301,5.830951894845301,0,0.0,5.112549355783116
5.83,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.9799945190463144,0.6685999999999999,1,1.0973313495599912,57.53,0.9812654682185873,1.7696829165862957,0,0.0,1.4523166328092343,101.661,0.6685999999999999,2,2.1890672566095537,57.53,5.830951894845301,5.830951894845301,0,0.0,5.112549355783116
6.13,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.9799945190463144,0.6685999999999999,1,1.0973313495599912,57.53,0.9812654682185873,1.7696829165862957,0,0.0,1.4523166328092343,101.661,0.6685999999999999,2,2.1890672566095537,57.53,5.830951894845301,5.830951894845301,0,0.0,5.112549355783116
4.64,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.05,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.3,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.54,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
